2022-11-19 17:47:23,466 DEBUG  my_server Message proccesing: {'action': 'presence', 'time': 1668862042.966058, 'type': 'status', 'user': {'account_name': 'lkhk', 'status': 'Я онлайн!'}}
2022-11-19 17:47:23,467 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:47:24,968 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668862044.7008865, 'account_name': 'lkhk', 'destination': None, 'message_text': 'jh]'}
2022-11-19 17:47:24,968 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:47:26,471 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668862046.0208454, 'account_name': 'lkhk', 'destination': None, 'message_text': 'jh'}
2022-11-19 17:47:26,471 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:47:28,973 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668862048.7646606, 'account_name': 'lkhk', 'destination': None, 'message_text': 'hh'}
2022-11-19 17:47:28,973 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:47:36,477 DEBUG  my_server Message proccesing: {'action': 'message', 'time': 1668862056.1408224, 'account_name': 'lkhk', 'destination': 'TTT!', 'message_text': '/pm TTT! sdbws'}
2022-11-19 17:47:36,478 INFO   my_server Function proccess_client_message() was called from function main()
2022-11-19 17:49:01,010 INFO   my_server Client ('127.0.0.1', 54299) disconected from server
2022-11-19 17:50:11,322 INFO   my_server Function arg_parser() was called from function main()
2022-11-19 17:50:11,322 INFO   my_server App starts at 127.0.0.1 8888
2022-11-19 17:50:17,174 INFO   my_server Connection established with ('127.0.0.1', 54324)
